folder1_image,folder2_image,similarity
1_001,2_002,0.5976094889769813
1_001,2_003,0.6207909345350833
1_001,2_004,0.48271846377978045
1_001,2_005,0.7641506076379114
1_001,2_006,0.633924689944547
1_001,2_007,0.365405675778478
1_001,2_008,0.5603644339563498
1_001,2_009,0.5452207940450843
1_001,2_010,0.6169347003504507
1_001,2_011,0.640881002260557
1_001,2_012,0.7024418524098643
1_001,2_013,0.09063428430870896
1_001,2_014,0.3995361393375172
1_001,2_015,0.09758395590996563
1_001,2_016,0.8053419795824391
1_001,2_017,0.1826939932271254
1_001,2_018,0.21960325906261705
1_001,2_019,0.26411410295521615
1_001,2_020,0.6478062860774875
1_001,2_021,0.5270612302195483
1_001,2_022,0.7854679564436097
1_001,2_023,0.5618467184831052
1_001,2_024,0.6975749976820056
1_001,2_025,0.5078381126172444
1_002,2_001,0.5769922447423296
1_002,2_003,0.6599976374454237
1_002,2_004,0.6576195301226575
1_002,2_005,0.7846545170074383
1_002,2_006,0.6992791783237677
1_002,2_007,0.5977869596727101
1_002,2_008,0.7249917948675898
1_002,2_009,0.6493531683976123
1_002,2_010,0.7752039137331501
1_002,2_011,0.21373288646905092
1_002,2_012,0.5071927506339043
1_002,2_013,0.16735197880499433
1_002,2_014,0.19233837063307313
1_002,2_015,0.22005850411952402
1_002,2_016,0.5009485924177397
1_002,2_017,0.2966041367341261
1_002,2_018,0.2282230223032351
1_002,2_019,0.17483708449986143
1_002,2_020,0.2847543298374493
1_002,2_021,0.35569787473452297
1_002,2_022,0.492870403525823
1_002,2_023,0.22811057286674394
1_002,2_024,0.5690624228919181
1_002,2_025,0.5245545432603973
1_003,2_001,0.8868489190619869
1_003,2_002,0.6617604103646043
1_003,2_004,0.7282166029456402
1_003,2_005,0.707178125662688
1_003,2_006,0.6980284911300936
1_003,2_007,0.3735694047757979
1_003,2_008,0.6801760170528935
1_003,2_009,0.7425374486747337
1_003,2_010,0.8164145341262385
1_003,2_011,0.6429691509542063
1_003,2_012,0.5399082992361504
1_003,2_013,0.3019038120763188
1_003,2_014,0.4142874958671175
1_003,2_015,0.17463759357897926
1_003,2_016,0.9336764677264439
1_003,2_017,0.43007122368681744
1_003,2_018,0.37909382500338434
1_003,2_019,0.38078499369391944
1_003,2_020,0.6510671272512432
1_003,2_021,0.3915598517322805
1_003,2_022,0.6678600897258731
1_003,2_023,0.3475648277642085
1_003,2_024,0.455806553399941
1_003,2_025,0.3795983268401579
1_004,2_001,0.6026483478411777
1_004,2_002,0.8851186375239766
1_004,2_003,0.7456103479967437
1_004,2_005,0.7010167742722311
1_004,2_006,0.7652271348690092
1_004,2_007,0.5745149694125791
1_004,2_008,0.793783902172147
1_004,2_009,0.7788096871051121
1_004,2_010,0.8767811335330514
1_004,2_011,0.3031964223909579
1_004,2_012,0.40235572907646955
1_004,2_013,0.21747543931648444
1_004,2_014,0.31603610000331267
1_004,2_015,0.27874584962546073
1_004,2_016,0.6267189177351914
1_004,2_017,0.44791622936597586
1_004,2_018,0.46734153267196044
1_004,2_019,0.3656634510016017
1_004,2_020,0.36435651984123335
1_004,2_021,0.23322927429556983
1_004,2_022,0.39709978620940667
1_004,2_023,0.08727943371218316
1_004,2_024,0.3892490754825793
1_004,2_025,0.45961081677345994
1_005,2_001,0.7221968431427951
1_005,2_002,0.7520471061892058
1_005,2_003,0.5209087331154294
1_005,2_004,0.8550384710079579
1_005,2_006,0.7865554167934898
1_005,2_007,0.8049594744126427
1_005,2_008,0.8284170197168981
1_005,2_009,0.8763562047826273
1_005,2_010,0.7231524901169322
1_005,2_011,0.27089914257593395
1_005,2_012,0.627736313732311
1_005,2_013,0.2500863726008036
1_005,2_014,0.10849819196435398
1_005,2_015,0.37294987421042625
1_005,2_016,0.4888194520355513
1_005,2_017,0.5686752211006729
1_005,2_018,0.539543002179367
1_005,2_019,0.5247623110141605
1_005,2_020,0.2765115667103394
1_005,2_021,0.2672232663543143
1_005,2_022,0.5209771036047166
1_005,2_023,0.2857598302933584
1_005,2_024,0.5345044127934505
1_005,2_025,0.6418496611859211
1_006,2_001,0.6978752734795511
1_006,2_002,0.8851455853519614
1_006,2_003,0.8601250660245846
1_006,2_004,0.9895928258260438
1_006,2_005,0.6209354518868764
1_006,2_007,0.8510016863758268
1_006,2_008,0.7467195205966003
1_006,2_009,0.9049691005617679
1_006,2_010,0.8232554327446792
1_006,2_011,0.32487748988065746
1_006,2_012,0.5386884480570703
1_006,2_013,0.48388965488089936
1_006,2_014,0.25126649498205456
1_006,2_015,0.31094865805494926
1_006,2_016,0.6380645692671686
1_006,2_017,0.6758195541870679
1_006,2_018,0.4808182569378771
1_006,2_019,0.5738642178636421
1_006,2_020,0.3552114664393964
1_006,2_021,0.3427427449277018
