folder1_image,folder2_image,similarity
1_001,2_001,0.8075864218372588
1_002,2_002,0.6150595768872267
1_003,2_003,0.6953314604633982
1_004,2_004,0.3523152597055929
1_005,2_005,0.0
1_006,2_006,0.7589837876990833
1_007,2_007,0.42776825471031116
1_008,2_008,0.5449387782193018
1_009,2_009,0.51323706377858
1_010,2_010,1.0
1_011,2_011,0.6194001477518346
1_012,2_012,0.6029944997070935
1_013,2_013,0.776899779815137
1_014,2_014,0.6915471233121806
1_015,2_015,0.6550164200769348
1_016,2_016,0.5781713978997307
1_017,2_017,0.4953365827193841
1_018,2_018,0.5266213022361894
1_019,2_019,0.7458809125984411
1_020,2_020,0.7235229866648197
1_021,2_021,0.8772231312422979
1_022,2_022,0.1985725499023164
1_023,2_023,0.0041288269023770155
1_024,2_024,0.8402794010279134
1_025,2_025,0.46625551544324106
