folder1_image,folder2_image,similarity
1_001,2_001,0.8519212766009318
1_002,2_002,0.9238534995355732
1_003,2_003,0.7601381578466198
1_004,2_004,0.7328146827147883
1_005,2_005,0.5255151359271351
1_006,2_006,1.0
1_007,2_007,0.14648202753405198
1_008,2_008,0.4395402478893568
1_009,2_009,0.8063544198565031
1_010,2_010,0.8241000053634597
1_011,2_011,0.6083406674581834
1_012,2_012,0.3027619684384776
1_013,2_013,0.6116606795015884
1_014,2_014,0.48252106376909826
1_015,2_015,0.0
1_016,2_016,0.963730974955081
1_017,2_017,0.4591852904679132
1_018,2_018,0.7299635162841951
1_019,2_019,0.27427986410943417
1_020,2_020,0.656254799686969
1_021,2_021,0.7894851200561701
1_022,2_022,0.34103284387700133
1_023,2_023,0.6086987393431713
1_024,2_024,0.9078393058707943
1_025,2_025,0.566240860786527
