folder1_image,folder2_image,similarity
1_001,2_001,0.3768482108480112
1_002,2_002,0.6528952743783266
1_003,2_003,0.3388982769471285
1_004,2_004,0.8152762009702941
1_005,2_005,0.1543603240374276
1_006,2_006,0.5991365440070605
1_007,2_007,0.17398339600511906
1_008,2_008,0.16753999441626802
1_009,2_009,0.3979424591220001
1_010,2_010,0.4110566349690547
1_011,2_011,0.6139262972690692
1_012,2_012,0.5760065253236144
1_013,2_013,0.40839349588670376
1_014,2_014,0.4670189924177962
1_015,2_015,0.37194436164119926
1_016,2_016,1.0
1_017,2_017,0.610914033552644
1_018,2_018,0.455551659337087
1_019,2_019,0.4103578740248769
1_020,2_020,0.4747777784270978
1_021,2_021,0.45498975826566185
1_022,2_022,0.35767309777905393
1_023,2_023,0.0
1_024,2_024,0.47941447888583694
1_025,2_025,0.6511473352006635
