folder1_image,folder2_image,similarity
1_001,2_001,0.9180498123168945
1_001,2_002,0.7798062562942505
1_001,2_003,0.6056133508682251
1_001,2_004,0.5845586657524109
1_001,2_005,0.7963882088661194
1_001,2_006,0.6296555399894714
1_001,2_007,0.7544646859169006
1_001,2_008,0.7031098008155823
1_001,2_009,0.7396175861358643
1_001,2_010,0.6580885052680969
1_001,2_011,0.5868459343910217
1_001,2_012,0.6883615851402283
1_001,2_013,0.5513653755187988
1_001,2_014,0.5839237570762634
1_001,2_015,0.47808676958084106
1_001,2_016,0.8226678371429443
1_001,2_017,0.5222305059432983
1_001,2_018,0.5594030618667603
1_001,2_019,0.5227505564689636
1_001,2_020,0.5803253054618835
1_001,2_021,0.7186616659164429
1_001,2_022,0.8305484056472778
1_001,2_023,0.6463454961776733
1_001,2_024,0.7028608918190002
1_001,2_025,0.7289953827857971
1_002,2_001,0.8557425141334534
1_002,2_002,0.8862372636795044
1_002,2_003,0.5799872279167175
1_002,2_004,0.6337090134620667
1_002,2_005,0.7948474884033203
1_002,2_006,0.6929824352264404
1_002,2_007,0.7705771923065186
1_002,2_008,0.6910795569419861
1_002,2_009,0.7642489075660706
1_002,2_010,0.6979339718818665
1_002,2_011,0.540416955947876
1_002,2_012,0.7273211479187012
1_002,2_013,0.5715633034706116
1_002,2_014,0.5963211059570312
1_002,2_015,0.5031448602676392
1_002,2_016,0.7533219456672668
1_002,2_017,0.5587320327758789
1_002,2_018,0.5819480419158936
1_002,2_019,0.5218948125839233
1_002,2_020,0.5861587524414062
1_002,2_021,0.6850650310516357
1_002,2_022,0.8474798798561096
1_002,2_023,0.7020803689956665
1_002,2_024,0.675626814365387
1_002,2_025,0.751144289970398
1_003,2_001,0.6322401762008667
1_003,2_002,0.6369567513465881
1_003,2_003,0.8995011448860168
1_003,2_004,0.6467324495315552
1_003,2_005,0.6144288182258606
1_003,2_006,0.7378588318824768
1_003,2_007,0.6798219084739685
1_003,2_008,0.7343282699584961
1_003,2_009,0.6778253316879272
1_003,2_010,0.7415117621421814
1_003,2_011,0.555220901966095
1_003,2_012,0.5949695110321045
1_003,2_013,0.6424392461776733
1_003,2_014,0.6050043702125549
1_003,2_015,0.6784665584564209
1_003,2_016,0.6621155738830566
1_003,2_017,0.6479608416557312
1_003,2_018,0.6443639993667603
1_003,2_019,0.6004581451416016
1_003,2_020,0.6485020518302917
1_003,2_021,0.5862218737602234
1_003,2_022,0.6357347369194031
1_003,2_023,0.5485497117042542
1_003,2_024,0.627204954624176
1_003,2_025,0.6433724164962769
1_004,2_001,0.6126349568367004
1_004,2_002,0.5809969902038574
1_004,2_003,0.6693828701972961
1_004,2_004,0.8428221940994263
1_004,2_005,0.5594038963317871
1_004,2_006,0.6488747596740723
1_004,2_007,0.6283738017082214
1_004,2_008,0.696954071521759
1_004,2_009,0.6259243488311768
1_004,2_010,0.7559912204742432
1_004,2_011,0.5428853034973145
1_004,2_012,0.5536300539970398
1_004,2_013,0.6007201075553894
1_004,2_014,0.6040844917297363
1_004,2_015,0.5628503561019897
1_004,2_016,0.6163243651390076
1_004,2_017,0.6937940716743469
1_004,2_018,0.6524909138679504
1_004,2_019,0.5781099200248718
1_004,2_020,0.6553249359130859
1_004,2_021,0.5434170365333557
1_004,2_022,0.6239585280418396
1_004,2_023,0.5511751174926758
1_004,2_024,0.6038970351219177
1_004,2_025,0.6409213542938232
1_005,2_001,0.8412782549858093
1_005,2_002,0.7929620146751404
1_005,2_003,0.632750391960144
1_005,2_004,0.6804230213165283
1_005,2_005,0.7846066951751709
1_005,2_006,0.6758285164833069
1_005,2_007,0.8169305324554443
1_005,2_008,0.7093430161476135
1_005,2_009,0.7799787521362305
1_005,2_010,0.747970461845398
1_005,2_011,0.5299160480499268
1_005,2_012,0.6776895523071289
1_005,2_013,0.5660160779953003
1_005,2_014,0.6177404522895813
1_005,2_015,0.5364640355110168
1_005,2_016,0.7576306462287903
1_005,2_017,0.5803959369659424
1_005,2_018,0.6343651413917542
1_005,2_019,0.5644295811653137
1_005,2_020,0.5859686732292175
1_005,2_021,0.6674829721450806
1_005,2_022,0.8683236241340637
1_005,2_023,0.6508032083511353
1_005,2_024,0.7409175038337708
1_005,2_025,0.7512000799179077
1_006,2_001,0.695418119430542
1_006,2_002,0.6406383514404297
1_006,2_003,0.7104312777519226
1_006,2_004,0.6740100979804993
1_006,2_005,0.6829388737678528
1_006,2_006,0.9100188612937927
1_006,2_007,0.8216414451599121
1_006,2_008,0.7814143896102905
1_006,2_009,0.7683455348014832
1_006,2_010,0.7549443244934082
1_006,2_011,0.6122941970825195
