,BrunoMars,Dicaprio,EunwooCha,FanBingbing,IshiharaSatomi,JKRowling,Jennie,Obama,TaylorSwift,TomHolland
BrunoMars,0.6713505940534631,-0.02026510519596268,-0.027215650313645166,0.013542725719315786,0.016933588304532166,0.0716894727581006,0.0367343778651768,0.0719832141451625,0.042950814378238285,0.043416777243357504
Dicaprio,-0.02026510519596268,0.6123876306232141,0.11109311299412511,0.016411275363621827,0.027834883664149674,-0.04487963423396786,0.014945899258010467,0.03695448202742118,-0.00412993071510291,-0.002902752019244508
EunwooCha,-0.027215650313645166,0.11109311299412511,0.549892240215321,0.0887748234761646,0.042192358442921435,0.02348596485839662,0.07489673888229881,-0.01881527033623861,-0.037238168335918816,-0.02199509776616469
FanBingbing,0.013542725719315786,0.016411275363621827,0.0887748234761646,0.6112649274845513,0.0021833278878300917,0.02300872617380737,0.03557744879116071,0.038820299487020385,0.0048258574221006715,-0.04155886965819191
IshiharaSatomi,0.016933588304532166,0.027834883664149674,0.042192358442921435,0.0021833278878300917,0.5380646849165157,-0.0029333512433040595,0.02498501473373981,0.028158604873844525,0.03673788982227561,0.028782129725707636
JKRowling,0.0716894727581006,-0.04487963423396786,0.02348596485839662,0.02300872617380737,-0.0029333512433040595,0.6609455221283193,-0.021506150005316884,0.02913345060601132,-0.028387105973096915,0.02355906248546671
Jennie,0.0367343778651768,0.014945899258010467,0.07489673888229881,0.03557744879116071,0.02498501473373981,-0.021506150005316884,0.5615593996339915,0.016153861167604873,0.02728683463098714,-0.0038293464788124766
Obama,0.0719832141451625,0.03695448202742118,-0.01881527033623861,0.038820299487020385,0.028158604873844525,0.02913345060601132,0.016153861167604873,0.6956830471389148,0.05478975880400685,0.0017853673039509887
TaylorSwift,0.042950814378238285,-0.00412993071510291,-0.037238168335918816,0.0048258574221006715,0.03673788982227561,-0.028387105973096915,0.02728683463098714,0.05478975880400685,0.5508119376094974,0.037891466871541345
TomHolland,0.043416777243357504,-0.002902752019244508,-0.02199509776616469,-0.04155886965819191,0.028782129725707636,0.02355906248546671,-0.0038293464788124766,0.0017853673039509887,0.037891466871541345,0.6141786522767981
