,BrunoMars,Dicaprio,EunwooCha,FanBingbing,IshiharaSatomi,JKRowling,Jennie,Obama,TaylorSwift,TomHolland
BrunoMars,0.8000546954116042,0.6266968194842338,0.5614128404855728,0.5392033025979995,0.5573461346268654,0.5529298534750938,0.563555087518692,0.5859295755505561,0.5728677808046341,0.6745094888091088
Dicaprio,0.6266968194842338,0.7690278102913681,0.5981347065210343,0.5360748752474784,0.5399619798898697,0.5655273430228234,0.5644368633270264,0.5459069635033608,0.596672436439991,0.676107791364193
EunwooCha,0.5614128404855728,0.5981347065210343,0.834875339780535,0.6663809815406799,0.6720388543605804,0.5078392060637474,0.6938457287073135,0.48932755652666093,0.5623455593347549,0.6066246817469597
FanBingbing,0.5392033025979995,0.5360748752474784,0.6663809815406799,0.8531138201149142,0.7663768224954605,0.6175801641941071,0.7745484080791474,0.4882136995315552,0.6105388562083245,0.5426044424057007
IshiharaSatomi,0.5573461346268654,0.5399619798898697,0.6720388543605804,0.7663768224954605,0.8289661671677414,0.615732929110527,0.7961210571050644,0.5308777626037597,0.6297865355730057,0.5799895949959755
JKRowling,0.5529298534750938,0.5655273430228234,0.5078392060637474,0.6175801641941071,0.615732929110527,0.8256355098802216,0.5983806848883629,0.5665325747013092,0.6296222692608834,0.5983556197166443
Jennie,0.563555087518692,0.5644368633270264,0.6938457287073135,0.7745484080791474,0.7961210571050644,0.5983806848883629,0.8256882387278032,0.5228788558125496,0.6337330343961716,0.5979818330049514
Obama,0.5859295755505561,0.5459069635033608,0.48932755652666093,0.4882136995315552,0.5308777626037597,0.5665325747013092,0.5228788558125496,0.919342804976872,0.6124044433116913,0.5789109310269356
TaylorSwift,0.5728677808046341,0.596672436439991,0.5623455593347549,0.6105388562083245,0.6297865355730057,0.6296222692608834,0.6337330343961716,0.6124044433116913,0.9067949641480738,0.6229021317839623
TomHolland,0.6745094888091088,0.676107791364193,0.6066246817469597,0.5426044424057007,0.5799895949959755,0.5983556197166443,0.5979818330049514,0.5789109310269356,0.6229021317839623,0.8058091469686859
