,BrunoMars,Dicaprio,EunwooCha,FanBingbing,IshiharaSatomi,JKRowling,Jennie,Obama,TaylorSwift,TomHolland
BrunoMars,0.5655874160357884,0.5244518806576729,0.4732124905049801,0.4740545309245586,0.44434679292440415,0.49794021763801577,0.4592668810427189,0.45707934365272523,0.46534019104242325,0.5163265786826611
Dicaprio,0.5244518806576729,0.6201430751961104,0.42940047972798345,0.406790591019392,0.4035153594344854,0.5108456783115863,0.4186167795538902,0.511538874092698,0.42263897042274473,0.5845126793205738
EunwooCha,0.4732124905049801,0.42940047972798345,0.6801443900867384,0.6158192307114602,0.6089545366764069,0.4837372014760971,0.6248341522336006,0.2896641496259719,0.5686626327872276,0.40382781446129085
FanBingbing,0.4740545309245586,0.406790591019392,0.6158192307114602,0.7448765435997321,0.6537052922487259,0.6105332000494004,0.6726490551948547,0.27021940095648167,0.636953214597702,0.4111204113960266
IshiharaSatomi,0.44434679292440415,0.4035153594344854,0.6089545366764069,0.6537052922487259,0.659012623465791,0.571047319984436,0.6407183970451354,0.26631934340205043,0.5872899987339973,0.3997742443434894
JKRowling,0.49794021763801577,0.5108456783115863,0.4837372014760971,0.6105332000494004,0.571047319984436,0.7364954559413754,0.5577627762138844,0.42335686066746714,0.6100646414875984,0.5396130430877208
Jennie,0.4592668810427189,0.4186167795538902,0.6248341522336006,0.6726490551948547,0.6407183970451354,0.5577627762138844,0.695581027074736,0.25587245706226674,0.5992785203576088,0.3903987585902214
Obama,0.45707934365272523,0.511538874092698,0.2896641496259719,0.27021940095648167,0.26631934340205043,0.42335686066746714,0.25587245706226674,0.6427836875769557,0.2916411826908588,0.5213441248476506
TaylorSwift,0.46534019104242325,0.42263897042274473,0.5686626327872276,0.636953214597702,0.5872899987339973,0.6100646414875984,0.5992785203576088,0.2916411826908588,0.7003217462374239,0.40364467768669127
TomHolland,0.5163265786826611,0.5845126793205738,0.40382781446129085,0.4111204113960266,0.3997742443434894,0.5396130430877208,0.3903987585902214,0.5213441248476506,0.40364467768669127,0.6166753033715852
