folder,reference_image,reference_path,num_comparisons,avg_similarity,min_similarity,max_similarity,std_similarity
BrunoMars,179.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/179.jpg,49,0.8302403810072918,0.6655578017234802,0.9038912057876587,0.04265903949274201
BrunoMars,168.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/168.jpg,49,0.8290951738552171,0.6366593241691589,0.9023661613464355,0.0451587135139549
BrunoMars,198.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/198.jpg,49,0.8288532738782921,0.7110543251037598,0.8839466571807861,0.0396010687632286
BrunoMars,182.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/182.jpg,49,0.8286701927379686,0.651372492313385,0.8997583985328674,0.04342352071490832
BrunoMars,000024.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000024.jpg,49,0.8283990779701544,0.7126618027687073,0.9021037220954895,0.04107587812556257
BrunoMars,193.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/193.jpg,49,0.8283635402212337,0.6485317945480347,0.931024432182312,0.04842068743133106
BrunoMars,000096.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000096.jpg,49,0.824831867704586,0.6568189859390259,0.9631048440933228,0.05103128400604311
BrunoMars,170.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/170.jpg,49,0.8244230564759703,0.6495355367660522,0.8837921619415283,0.04839962852678128
BrunoMars,000008.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000008.jpg,49,0.8240125008991787,0.6103864312171936,0.895063579082489,0.0522975545641968
BrunoMars,000063.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000063.jpg,49,0.8239924262981025,0.6657611727714539,0.9037994742393494,0.04372880256274249
BrunoMars,194.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/194.jpg,49,0.8237537571362087,0.6456747055053711,0.931024432182312,0.053699079010211315
BrunoMars,185.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/185.jpg,49,0.8231879351090412,0.675382137298584,0.892645537853241,0.042247256760636384
BrunoMars,175.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/175.jpg,49,0.8227359579533947,0.6625010371208191,0.8955275416374207,0.047663566908042895
BrunoMars,000057.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000057.jpg,49,0.8213570507205262,0.6889932751655579,0.9021037220954895,0.05060329975550107
BrunoMars,000054.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000054.jpg,49,0.8199227269814939,0.6212320327758789,0.9631048440933228,0.05299076779461134
BrunoMars,000033.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000033.jpg,49,0.819604901634917,0.6439633965492249,0.9000242352485657,0.041856865502732654
BrunoMars,000051.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000051.jpg,49,0.819351462685332,0.6244210004806519,0.8838639259338379,0.05055026473021324
BrunoMars,000048.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000048.jpg,49,0.8178766503625986,0.6543217897415161,0.9038912057876587,0.044834032922944814
BrunoMars,000002.jpg,/data2/jiyoon/PAI-Bench/data/crawled/imgs/BrunoMars/000002.jpg,49,0.8158389390731344,0.7016363739967346,0.9001964926719666,0.04072070499834885
