folder,num_images,mean_avg_sim,std_avg_sim,min_avg_sim,max_avg_sim
BrunoMars,50,0.5655874160357883,0.05288631873121539,0.41531346403822605,0.6338245376032225
Dicaprio,50,0.6201430751961104,0.06554745130769153,0.3638468685807014,0.7122216632171553
EunwooCha,50,0.6801443900867384,0.05461746112998002,0.5298564026550371,0.7663502474220432
FanBingbing,50,0.7448765435997321,0.0319239379233659,0.6322138771718863,0.8015220736970707
IshiharaSatomi,50,0.659012623465791,0.04065413162339531,0.5304839726613493,0.7277678044474855
JKRowling,50,0.7364954559413754,0.04744601556395174,0.588262682666584,0.8054458851716957
Jennie,50,0.6955810270747359,0.05780760541033386,0.5133428987191648,0.770256232242195
Obama,50,0.6427836875769557,0.04015096078917937,0.5466469404648762,0.710708030632564
TaylorSwift,50,0.7003217462374239,0.0685348810138831,0.45918206110292553,0.7674336372589579
TomHolland,50,0.6166753033715852,0.06787395637233745,0.4350924759495015,0.7060248565917112
